"id","industry","name","description","logourl","bannerUrl","count","inserted_date"
"1","1","Hindustan Aeronautics Limited (HAL)",,,"https://www.connect.in/backend/uploads/companies/hindustan-aeronautics-limited3910-1727235576607.jpg","0","2024-07-23 15:58:33"
"2","1","Bharat Electronics Limited (BEL)",,,,"0","2024-07-23 15:58:33"
"3","1","Defense Research and Development Organization (DRDO)",,,"https://www.connect.in/backend/uploads/companies/drdo-1727246055072.png","0","2024-07-23 15:58:33"
"4","1","Indian Space Research Organisation (ISRO)",,,,"0","2024-07-23 15:58:33"
"5","1","Bharat Dynamics Limited (BDL)",,,,"0","2024-07-23 15:58:33"
"6","1","Mahindra Aerospace",,,,"0","2024-07-23 15:58:33"
"7","1","Larsen & Toubro (L&T) Defense",,,,"0","2024-07-23 15:58:33"
"8","1","Tata Advanced Systems Ltd. (TASL)",,,,"0","2024-07-23 15:58:33"
"9","1","Navratna Defence Limited",,,,"0","2024-07-23 15:58:33"
"10","1","Bharat Forge Limited",,,,"0","2024-07-23 15:58:33"
"11","1","Godrej & Boyce Manufacturing Company Ltd.",,,,"0","2024-07-23 15:58:33"
"12","1","Hindustan Shipyard Ltd.",,,,"0","2024-07-23 15:58:33"
"13","1","Astra Microwave Products Ltd.",,,,"0","2024-07-23 15:58:33"
"14","1","Alpha Design Technologies Pvt. Ltd.",,,,"0","2024-07-23 15:58:33"
"15","1","Bharat Electronics Ltd. (BEL)",,,,"0","2024-07-23 15:58:33"
"16","1","Vikram Sarabhai Space Centre (VSSC)",,,,"0","2024-07-23 15:58:33"
"17","1","Indian Navy (IN)",,,,"0","2024-07-23 15:58:33"
"18","1","Indian Air Force (IAF)",,,,"0","2024-07-23 15:58:33"
"19","1","Indian Army (IA)",,,,"0","2024-07-23 15:58:33"
"20","1","Aerospace Division, Tata Group",,,,"0","2024-07-23 15:58:33"
"21","1","Mahindra Defence Systems",,,,"0","2024-07-23 15:58:33"
"22","1","Kalyani Strategic Systems Ltd.",,,,"0","2024-07-23 15:58:33"
"23","1","Rolta India Ltd.",,,,"0","2024-07-23 15:58:33"
"24","1","Nexter Systems",,,,"0","2024-07-23 15:58:33"
"25","1","Aero Vodochody",,,,"0","2024-07-23 15:58:33"
"26","1","HCL Technologies (Aerospace Division)",,,,"0","2024-07-23 15:58:33"
"27","1","CESE Aerospace",,,,"0","2024-07-23 15:58:33"
"28","1","ASTRAL Aerospace",,,,"0","2024-07-23 15:58:33"
"29","1","Aeronautical Development Agency (ADA)",,,,"0","2024-07-23 15:58:33"
"30","1","Kineco Ltd.",,,,"0","2024-07-23 15:58:33"
"31","1","MTAR Technologies Ltd.",,,,"0","2024-07-23 15:58:33"
"32","1","Manohar Bhadra Group",,,,"0","2024-07-23 15:58:33"
"33","1","Tata Power SED",,,,"0","2024-07-23 15:58:33"
"34","1","Kawasaki Heavy Industries",,,,"0","2024-07-23 15:58:33"
"35","1","Sikorsky Aircraft Corporation",,,,"0","2024-07-23 15:58:33"
"36","1","Pratt & Whitney",,,,"0","2024-07-23 15:58:33"
"37","1","Honeywell Aerospace",,,,"0","2024-07-23 15:58:33"
"38","1","General Electric Aviation",,,,"0","2024-07-23 15:58:33"
"39","1","Lockheed Martin India",,,,"0","2024-07-23 15:58:33"
"40","1","Raytheon India",,,,"0","2024-07-23 15:58:33"
"41","1","Northrop Grumman India",,,,"0","2024-07-23 15:58:33"
"42","1","Saab India",,,,"0","2024-07-23 15:58:33"
"43","1","Leonardo India",,,,"0","2024-07-23 15:58:33"
"44","1","Dassault Aviation",,,,"0","2024-07-23 15:58:33"
"45","1","Airbus India",,,,"0","2024-07-23 15:58:33"
"46","1","Boeing India",,,,"0","2024-07-23 15:58:33"
"47","1","UTC Aerospace Systems",,,,"0","2024-07-23 15:58:33"
"48","1","L3 Technologies India",,,,"0","2024-07-23 15:58:33"
"49","1","Bell Helicopter",,,,"0","2024-07-23 15:58:33"
"50","1","Elbit Systems",,,,"0","2024-07-23 15:58:33"
"51","1","Thales Group",,,,"0","2024-07-23 15:58:33"
"52","1","Rheinmetall",,,,"0","2024-07-23 15:58:33"
"53","1","General Dynamics",,,,"0","2024-07-23 15:58:33"
"54","1","Harris Corporation",,,,"0","2024-07-23 15:58:33"
"55","1","Cobham Aerospace",,,,"0","2024-07-23 15:58:33"
"56","1","Moog Inc.",,,,"0","2024-07-23 15:58:33"
"57","1","Kinetics Group",,,,"0","2024-07-23 15:58:33"
"58","1","Boeing Defence India",,,,"0","2024-07-23 15:58:33"
"59","1","L&T Defence",,,,"0","2024-07-23 15:58:33"
"60","1","Dynetics Inc.",,,,"0","2024-07-23 15:58:33"
"61","1","Rockwell Collins",,,,"0","2024-07-23 15:58:33"
"62","1","Safran",,,,"0","2024-07-23 15:58:33"
"63","1","Rostec",,,,"0","2024-07-23 15:58:33"
"64","1","Rolls-Royce",,,,"0","2024-07-23 15:58:33"
"65","1","Bae Systems",,,,"0","2024-07-23 15:58:33"
"66","1","Navantia",,,,"0","2024-07-23 15:58:33"
"67","1","DCNS",,,,"0","2024-07-23 15:58:33"
"68","1","Arianespace",,,,"0","2024-07-23 15:58:33"
"69","1","ATK",,,,"0","2024-07-23 15:58:33"
"70","1","Tactical Communications Inc.",,,,"0","2024-07-23 15:58:33"
"71","1","JSC Almaz-Antey",,,,"0","2024-07-23 15:58:33"
"72","1","Aerospace Manufacturing & Design",,,,"0","2024-07-23 15:58:33"
"73","1","Hexagon Composites",,,,"0","2024-07-23 15:58:33"
"74","1","MAG Aerospace",,,,"0","2024-07-23 15:58:33"
"75","1","Meggitt PLC",,,,"0","2024-07-23 15:58:33"
"76","1","Northeast Aerospace",,,,"0","2024-07-23 15:58:33"
"77","1","Oshkosh Defense",,,,"0","2024-07-23 15:58:33"
"78","1","Patria",,,,"0","2024-07-23 15:58:33"
"79","1","QinetiQ",,,,"0","2024-07-23 15:58:33"
"80","1","Robo-Tec",,,,"0","2024-07-23 15:58:33"
"81","1","SAIC",,,,"0","2024-07-23 15:58:33"
"82","1","Sikorsky Aircraft",,,,"0","2024-07-23 15:58:33"
"83","1","SpaceX",,,,"0","2024-07-23 15:58:33"
"84","1","ST Engineering",,,,"0","2024-07-23 15:58:33"
"85","1","Textron",,,,"0","2024-07-23 15:58:33"
"86","1","Thales Alenia Space",,,,"0","2024-07-23 15:58:33"
"87","1","Titanium Industries",,,,"0","2024-07-23 15:58:33"
"88","1","UAV Factory",,,,"0","2024-07-23 15:58:33"
"89","1","VISTA Technology",,,,"0","2024-07-23 15:58:33"
"90","1","Vortex Aerospace",,,,"0","2024-07-23 15:58:33"
"91","1","Wesco Aircraft",,,,"0","2024-07-23 15:58:33"
"92","1","Zen Technologies Ltd.",,,,"0","2024-07-23 15:58:33"
"93","1","Aviation Industry Corporation of China (AVIC)",,,,"0","2024-07-23 15:58:33"
"94","1","GKN Aerospace",,,,"0","2024-07-23 15:58:33"
"95","1","Aerospace Technologies",,,,"0","2024-07-23 15:58:33"
"96","1","UAV Solutions",,,,"0","2024-07-23 15:58:33"
"97","1","Spaceflight Industries",,,,"0","2024-07-23 15:58:33"
"98","1","Orbit Communications",,,,"0","2024-07-23 15:58:33"
"99","2","Bayer CropScience Ltd.",,,,"0","2024-07-23 15:58:33"
"100","2","Syngenta India Ltd.",,,,"0","2024-07-23 15:58:33"
"101","2","Monsanto India Ltd.",,,,"0","2024-07-23 15:58:33"
"102","2","Adama India Pvt. Ltd.",,,,"0","2024-07-23 15:58:33"
"103","2","Corteva Agriscience",,,,"0","2024-07-23 15:58:33"
"104","2","UPL Ltd.",,,,"0","2024-07-23 15:58:33"
"105","2","Rallis India Ltd.",,,,"0","2024-07-23 15:58:33"
"106","2","BASF India Ltd.",,,,"0","2024-07-23 15:58:33"
"107","2","Nuziveedu Seeds Ltd.",,,,"0","2024-07-23 15:58:33"
"108","2","Mahyco",,,,"0","2024-07-23 15:58:33"
"109","2","Jain Irrigation Systems Ltd.",,,,"0","2024-07-23 15:58:33"
"110","2","Netafim Irrigation Pvt. Ltd.",,,,"0","2024-07-23 15:58:33"
"111","2","Kaveri Seed Company Ltd.",,,,"0","2024-07-23 15:58:33"
"112","2","Dhanuka Agritech Ltd.",,,,"0","2024-07-23 15:58:33"
"113","2","AgroStar",,,,"0","2024-07-23 15:58:33"
"114","2","NinjaCart",,,,"0","2024-07-23 15:58:33"
"115","2","Farmer's Fresh Zone",,,,"0","2024-07-23 15:58:33"
"116","2","Bharat Agri Fert",,,,"0","2024-07-23 15:58:33"
"117","2","Savoury Systems International",,,,"0","2024-07-23 15:58:33"
"118","2","Sree Rama Agritech",,,,"0","2024-07-23 15:58:33"
"119","2","Krishi Star",,,,"0","2024-07-23 15:58:33"
"120","2","Green Lab",,,,"0","2024-07-23 15:58:33"
"121","2","Krishi Network",,,,"0","2024-07-23 15:58:33"
"122","2","CropIn Technology Solutions",,,,"0","2024-07-23 15:58:33"
"123","2","Stellapps Technologies",,,,"0","2024-07-23 15:58:33"
"124","2","Fasal",,,,"0","2024-07-23 15:58:33"
"125","2","Aibono",,,,"0","2024-07-23 15:58:33"
"126","2","DeHaat",,,,"0","2024-07-23 15:58:33"
"127","2","Sonalika Group",,,,"0","2024-07-23 15:58:33"
"128","2","VST Tillers Tractors Ltd.",,,,"0","2024-07-23 15:58:33"
"129","2","Mahindra Tractors",,,,"0","2024-07-23 15:58:33"
"130","2","Tafe Ltd.",,,,"0","2024-07-23 15:58:33"
"131","2","Sonalika Tractors",,,,"0","2024-07-23 15:58:33"
"132","2","John Deere India",,,,"0","2024-07-23 15:58:33"
"133","2","Kubota Agricultural Machinery",,,,"0","2024-07-23 15:58:33"
"134","2","New Holland Agriculture",,,,"0","2024-07-23 15:58:33"
"135","2","Escorts Agri Machinery",,,,"0","2024-07-23 15:58:33"
"136","2","KisanKraft",,,,"0","2024-07-23 15:58:33"
"137","2","Agri-Tech East",,,,"0","2024-07-23 15:58:33"
"138","2","AquaTech",,,,"0","2024-07-23 15:58:33"
"139","2","AgroWave",,,,"0","2024-07-23 15:58:33"
"140","2","AgroClean Technologies",,,,"0","2024-07-23 15:58:33"
"141","2","Aqualife Aquaculture",,,,"0","2024-07-23 15:58:33"
"142","2","Agri Business Global",,,,"0","2024-07-23 15:58:33"
"143","2","Agrocare India",,,,"0","2024-07-23 15:58:33"
